100nF;7;"C201 C202 C203 C301 C302 C403 C701";SM0805;25V
100nF;3;"C602 C603 C605";SM0805
10uF;2;"C401 C402";SM0805;16V
68µF;1;"C601";SMDHD/VF
220µF;1;"C604";SMDHD/VF
LED;1;"D603";LED-0805
1N5819;2;"D601 D602";SOD-123
1N4148;12;"D201 D202 D203 D204 D301 D302 D401 D402 D403 D404 D501 D502";SOD-323
JUMPER3;6;"JP201 JP202 JP203 JP204 JP401 JP501";PIN_ARRAY_3X1_Windlogger
CONN_3;2;"K101 K102";PINHEAD1-3_Windlogger
33µH;1;"L601";Bobine_cms
2.2k;1;"NTC701";SM0805;1%
CONN_2;8;"P101 P103 P104 P105 P106 P107 P108 P115";PINHEAD1-2_Windlogger
CONN_10;1;"P111";SIL-10_Winlogger
CONN_6;2;"P110 P114";SIL-6_Winlogger
CONN_8;3;"P109 P112 P113";SIL-8_Windlogger
CONN_5;1;"P102";USB_MINI_B
63.4;1;"R402";SM0805;0.125W;1%
100;2;"R202 R204";SM0805
130;1;"R401";SM0805;0.125W;1%
510;2;"R207 R208";SM0805;0.125W;1%
1.8k;1;"R605";SM0805;0.125W;1%
6.49k;1;"R301";SM0805;0.125W;1%
10k;5;"R101 R205 R206 R407 R503";SM0805;0.125W;1%
10k;1;"R606";SM0805
10k;4;"R702 R704 R705 R706";SM0805;1%;1/8W
20k;3;"R404 R409 R701";SM0805;0.125W;1%
20k;1;"R703";SM0805
47k;4;"R209 R210 R403 R408";SM0805;0.125W;1%
100k;4;"R201 R203 R302 R405";SM0805;0.125W;1%
100k;1;"R303";SM0805
360k;1;"R501";SM0805;0.125W;1%
3.3M;1;"R504";SM0805;0.125W;1%
SWITCH_INV;1;"SW601";SWITCH_SPDT_Windlogger
LMV358;4;"U201 U301 U401 U701";SO8N
LM2597M-3.3;1;"U601";SO8N
